CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.026 [0.000, 0.131]	0.059 [0.000, 0.208]	0.033 [-0.138, 0.214]	0.76	3.2
0.006 [0.000, 0.017]	0.022 [0.002, 0.051]	0.016 [-0.012, 0.048]	0.90	9.2
0.064 [0.000, 0.249]	0.047 [0.002, 0.207]	-0.016 [-0.294, 0.224]	0.54	1.2
0.009 [0.000, 0.023]	0.028 [0.002, 0.057]	0.019 [-0.010, 0.055]	0.89	8.2
0.038 [0.000, 0.232]	0.076 [0.004, 0.320]	0.038 [-0.060, 0.279]	0.87	6.8
0.202 [0.002, 0.453]	0.164 [0.004, 0.469]	-0.037 [-0.411, 0.395]	0.40	0.7
0.138 [0.000, 0.358]	0.184 [0.003, 0.400]	0.046 [-0.267, 0.390]	0.61	1.5
0.123 [0.000, 0.343]	0.170 [0.003, 0.393]	0.047 [-0.308, 0.328]	0.60	1.5
0.085 [0.000, 0.316]	0.167 [0.002, 0.375]	0.083 [-0.178, 0.388]	0.76	3.2
0.053 [0.001, 0.200]	0.071 [0.006, 0.204]	0.017 [-0.175, 0.213]	0.69	2.2
