CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
23.295 [19.502, 31.527];0.418 [0.274, 0.496];0.269 [0.219, 0.303];1;19
17.896 [15.127, 24.672];0.421 [0.265, 0.497];0.243 [0.17, 0.313];1;32.3
17.031 [16.162, 18.257];0.454 [0.428, 0.497];0.262 [0.22, 0.295];1;99
16.785 [14.363, 18.791];0.435 [0.342, 0.478];0.23 [0.124, 0.278];1;Inf
23.481 [18.993, 31.67];0.486 [0.353, 0.552];0.295 [0.247, 0.324];1;99
19.795 [17.949, 24.742];0.588 [0.51, 0.624];0.311 [0.273, 0.339];1;Inf
20.724 [18.344, 25.062];0.449 [0.358, 0.504];0.276 [0.212, 0.315];1;49
19.29 [17.623, 21.012];0.552 [0.468, 0.595];0.263 [0.189, 0.322];1;49
21.858 [19.035, 26.84];0.547 [0.459, 0.601];0.297 [0.257, 0.323];1;Inf
23.945 [18.829, 32.589];0.404 [0.241, 0.492];0.259 [0.179, 0.294];1;15.7
