CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.083 [0.040, 0.129]	0.428 [0.242, 0.560]	0.345 [0.141, 0.480]	1.00	>99
0.069 [0.001, 0.119]	0.432 [0.216, 0.550]	0.363 [0.140, 0.511]	1.00	>99
0.082 [0.020, 0.128]	0.419 [0.303, 0.494]	0.337 [0.200, 0.431]	1.00	>99
0.074 [0.005, 0.120]	0.408 [0.249, 0.501]	0.334 [0.179, 0.453]	1.00	449.0
0.084 [0.041, 0.133]	0.414 [0.226, 0.547]	0.330 [0.140, 0.480]	1.00	>99
0.091 [0.043, 0.137]	0.429 [0.256, 0.547]	0.339 [0.155, 0.451]	1.00	>99
0.085 [0.013, 0.135]	0.422 [0.261, 0.560]	0.337 [0.173, 0.495]	1.00	>99
0.110 [0.030, 0.173]	0.409 [0.220, 0.509]	0.298 [0.107, 0.455]	0.99	74.0
0.085 [0.047, 0.136]	0.401 [0.191, 0.545]	0.316 [0.100, 0.470]	1.00	>99
0.088 [0.035, 0.147]	0.410 [0.202, 0.599]	0.322 [0.106, 0.525]	1.00	>99
