LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.429 [0.275, 0.583]	0.647 [0.439, 0.815]	0.219 [-0.054, 0.472]	0.94	15.7
0.437 [0.208, 0.601]	0.716 [0.550, 0.839]	0.279 [0.066, 0.519]	0.99	99.0
0.449 [0.340, 0.562]	0.733 [0.610, 0.819]	0.284 [0.133, 0.421]	1.00	>99
0.447 [0.328, 0.558]	0.723 [0.569, 0.821]	0.276 [0.070, 0.431]	0.99	99.0
0.423 [0.288, 0.574]	0.683 [0.451, 0.821]	0.260 [0.001, 0.456]	0.97	32.3
0.429 [0.322, 0.612]	0.708 [0.550, 0.826]	0.279 [0.085, 0.441]	1.00	>99
0.459 [0.332, 0.625]	0.700 [0.574, 0.838]	0.241 [0.034, 0.388]	0.99	99.0
0.469 [0.331, 0.628]	0.734 [0.647, 0.846]	0.265 [0.068, 0.428]	1.00	>99
0.427 [0.266, 0.540]	0.670 [0.451, 0.789]	0.243 [0.000, 0.409]	0.97	32.3
0.440 [0.245, 0.572]	0.668 [0.437, 0.850]	0.228 [-0.052, 0.532]	0.92	11.5
