CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.394 [0.261, 0.529]	0.514 [0.330, 0.675]	0.120 [-0.097, 0.374]	0.85	5.5
0.420 [0.208, 0.644]	0.525 [0.319, 0.738]	0.105 [-0.169, 0.395]	0.80	4.1
0.430 [0.323, 0.557]	0.564 [0.427, 0.702]	0.133 [-0.065, 0.312]	0.92	11.9
0.420 [0.299, 0.624]	0.535 [0.381, 0.700]	0.115 [-0.105, 0.342]	0.88	7.3
0.408 [0.271, 0.542]	0.524 [0.363, 0.724]	0.116 [-0.111, 0.350]	0.85	5.8
0.408 [0.297, 0.539]	0.529 [0.395, 0.679]	0.122 [-0.090, 0.296]	0.89	7.8
0.411 [0.298, 0.524]	0.528 [0.348, 0.656]	0.117 [-0.080, 0.290]	0.88	7.5
0.424 [0.316, 0.547]	0.547 [0.400, 0.725]	0.123 [-0.076, 0.352]	0.89	8.2
0.404 [0.277, 0.539]	0.527 [0.387, 0.700]	0.123 [-0.066, 0.337]	0.88	7.3
0.408 [0.249, 0.576]	0.547 [0.354, 0.728]	0.140 [-0.094, 0.381]	0.87	6.8
