CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.03 [0, 0.135];0.041 [0.001, 0.116];0.011 [-0.148, 0.119];0.7;2.3
0.022 [0, 0.139];0.029 [0, 0.084];0.007 [-0.143, 0.099];0.71;2.4
0.012 [0, 0.053];0.055 [0, 0.17];0.043 [-0.067, 0.165];0.88;7.3
0.012 [0, 0.051];0.041 [0, 0.114];0.029 [-0.02, 0.111];0.82;4.6
0.025 [0, 0.108];0.04 [0, 0.128];0.015 [-0.038, 0.217];0.69;2.2
0.007 [0, 0.036];0.041 [0, 0.118];0.035 [-0.049, 0.137];0.88;7.3
0.007 [0, 0.03];0.027 [0, 0.1];0.02 [-0.025, 0.099];0.71;2.4
0.002 [0, 0.01];0.01 [0, 0.033];0.008 [-0.007, 0.037];0.82;4.6
0.063 [0, 0.236];0.055 [0.003, 0.187];-0.008 [-0.277, 0.135];0.56;1.3
0.011 [0, 0.048];0.032 [0, 0.125];0.021 [-0.063, 0.116];0.73;2.7
