CS_LR1_beta_env	CS_LR1_R2_env	CS_LR1_Q	CS_LR1_pQ	CS_LR1_BF
1.396 [0.806, 2.149]	0.135 [0.048, 0.212]	0.047 [-0.048, 0.155]	0.82	-
1.061 [0.472, 1.626]	0.090 [0.019, 0.171]	0.012 [-0.083, 0.095]	0.68	-
1.855 [0.842, 4.002]	0.131 [0.025, 0.229]	0.051 [-0.096, 0.166]	0.83	-
1.442 [0.714, 2.427]	0.103 [0.023, 0.188]	0.011 [-0.070, 0.109]	0.66	-
1.684 [0.746, 3.329]	0.094 [0.007, 0.181]	-0.006 [-0.069, 0.113]	0.38	-
1.391 [0.654, 2.294]	0.133 [0.044, 0.241]	0.070 [-0.024, 0.178]	0.91	4.6
1.177 [0.732, 1.787]	0.116 [0.036, 0.209]	0.038 [-0.040, 0.130]	0.79	-
1.267 [0.813, 1.958]	0.130 [0.057, 0.260]	0.062 [-0.022, 0.142]	0.93	6.1
1.604 [0.853, 3.709]	0.137 [0.055, 0.250]	0.058 [-0.089, 0.190]	0.85	-
1.101 [0.371, 1.737]	0.085 [0.010, 0.181]	-0.011 [-0.095, 0.080]	0.43	-
