CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.037 [0.000, 0.170]	0.046 [0.000, 0.145]	0.009 [-0.173, 0.114]	0.67	2.0
0.010 [0.000, 0.039]	0.038 [0.000, 0.150]	0.028 [-0.064, 0.198]	0.77	3.3
0.017 [0.000, 0.106]	0.056 [0.000, 0.185]	0.039 [-0.074, 0.185]	0.85	5.7
0.013 [0.000, 0.077]	0.041 [0.000, 0.144]	0.027 [-0.081, 0.134]	0.74	2.8
0.018 [0.000, 0.068]	0.034 [0.000, 0.103]	0.016 [-0.073, 0.090]	0.63	1.7
0.014 [0.000, 0.096]	0.032 [0.000, 0.082]	0.017 [-0.085, 0.114]	0.82	4.6
0.005 [0.000, 0.021]	0.026 [0.000, 0.094]	0.021 [-0.036, 0.091]	0.80	4.0
0.003 [0.000, 0.011]	0.011 [0.000, 0.046]	0.009 [-0.010, 0.047]	0.77	3.3
0.118 [0.000, 0.323]	0.082 [0.000, 0.304]	-0.036 [-0.330, 0.218]	0.38	0.6
0.011 [0.000, 0.036]	0.023 [0.000, 0.067]	0.012 [-0.026, 0.067]	0.67	2.0
