CS_beta_env	CS_R2_env	CS_Q	CS_pQ	CS_BF
14.219 [13.278, 15.319]	0.183 [0.162, 0.207]	-0.116 [-0.135, -0.084]	0.00	-
14.039 [13.511, 14.889]	0.182 [0.171, 0.197]	-0.117 [-0.136, -0.102]	0.00	-
10.701 [10.037, 12.308]	0.159 [0.143, 0.205]	-0.137 [-0.152, -0.103]	0.00	-
14.195 [13.403, 15.188]	0.182 [0.166, 0.200]	-0.092 [-0.116, -0.076]	0.00	-
13.909 [13.050, 16.425]	0.170 [0.147, 0.189]	-0.115 [-0.143, -0.100]	0.00	-
13.116 [12.235, 13.992]	0.162 [0.147, 0.182]	-0.109 [-0.123, -0.086]	0.00	-
13.457 [12.812, 14.030]	0.177 [0.164, 0.191]	-0.111 [-0.126, -0.100]	0.00	-
15.470 [14.514, 17.630]	0.203 [0.184, 0.243]	-0.088 [-0.116, -0.018]	0.00	-
15.870 [14.079, 18.370]	0.173 [0.135, 0.225]	-0.098 [-0.136, -0.042]	0.00	-
25.372 [14.322, 61.040]	0.159 [0.085, 0.231]	-0.142 [-0.266, -0.087]	0.00	-
