CS_LR1_beta_env;CS_LR1_R2_env;CS_LR1_Q;CS_LR1_pQ;CS_LR1_BF
0.726 [0.578, 0.859];0.171 [0.123, 0.232];-0.151 [-0.25, -0.043];0;-
0.689 [0.563, 0.847];0.163 [0.124, 0.221];-0.174 [-0.266, -0.107];0;-
0.442 [0.363, 0.516];0.12 [0.076, 0.164];-0.183 [-0.272, -0.097];0;-
0.706 [0.572, 0.841];0.171 [0.117, 0.222];-0.147 [-0.23, -0.068];0.02;-
0.785 [0.566, 0.971];0.214 [0.1, 0.321];-0.141 [-0.218, -0.049];0.01;-
0.76 [0.587, 0.952];0.211 [0.131, 0.305];-0.146 [-0.281, -0.081];0.03;-
0.701 [0.586, 0.816];0.173 [0.137, 0.223];-0.162 [-0.225, -0.097];0;-
0.733 [0.593, 0.918];0.172 [0.118, 0.235];-0.161 [-0.259, -0.058];0.02;-
0.63 [0.161, 0.87];0.16 [0.057, 0.267];-0.13 [-0.237, -0.017];0;-
0.947 [0.576, 1.823];0.146 [0.04, 0.246];-0.162 [-0.296, -0.079];0;-
