LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.173 [0.105, 0.241];0.341 [0.23, 0.492];0.168 [0.024, 0.361];0.98;49
0.187 [0.102, 0.267];0.371 [0.258, 0.493];0.184 [0.045, 0.324];0.98;49
0.194 [0.118, 0.27];0.357 [0.254, 0.508];0.164 [-0.005, 0.322];0.96;24
0.184 [0.124, 0.256];0.38 [0.219, 0.49];0.197 [0.032, 0.32];1;Inf
0.223 [0.16, 0.3];0.377 [0.272, 0.484];0.154 [0.042, 0.302];0.99;99
0.179 [0.095, 0.264];0.359 [0.239, 0.464];0.18 [0.023, 0.311];1;Inf
0.199 [0.101, 0.322];0.396 [0.291, 0.525];0.197 [0.001, 0.327];0.99;99
0.194 [0.119, 0.266];0.363 [0.225, 0.457];0.169 [0.002, 0.29];0.99;99
0.153 [0.093, 0.223];0.335 [0.241, 0.451];0.182 [0.074, 0.325];0.99;99
0.189 [0.129, 0.251];0.39 [0.287, 0.52];0.201 [0.081, 0.373];1;Inf
