LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
7.421 [6.725, 8.500]	0.224 [0.184, 0.273]	-0.310 [-0.329, -0.276]	0.00	-
7.236 [6.092, 8.730]	0.216 [0.158, 0.271]	-0.301 [-0.331, -0.253]	0.00	-
9.588 [7.884, 12.238]	0.305 [0.259, 0.335]	-0.230 [-0.299, -0.122]	0.00	-
7.302 [6.630, 7.868]	0.223 [0.188, 0.254]	-0.305 [-0.322, -0.285]	0.00	-
7.641 [6.862, 8.608]	0.241 [0.207, 0.275]	-0.299 [-0.320, -0.277]	0.00	-
8.093 [6.903, 10.623]	0.243 [0.188, 0.295]	-0.283 [-0.330, -0.186]	0.00	-
7.184 [6.387, 7.778]	0.208 [0.157, 0.251]	-0.311 [-0.325, -0.292]	0.00	-
7.658 [6.408, 8.881]	0.239 [0.182, 0.289]	-0.296 [-0.326, -0.257]	0.00	-
6.752 [6.295, 7.406]	0.191 [0.154, 0.246]	-0.316 [-0.329, -0.300]	0.00	-
7.248 [6.571, 8.223]	0.207 [0.168, 0.254]	-0.316 [-0.329, -0.296]	0.00	-
